Episode;Quote;Author;Who said it
5�14 Parasite;If I am what I have, and if I lose what I have, who then am I?;German Psychologist Erich Fromm;Rossi
5�14 Parasite;Oh what a tangled web we weave, when first we practice to deceive.;Sir Walter Scott;Prentiss
5�15 Public Enemy;Show me a hero, and I will write you a tragedy.;F. Scott Fitzgerald;Rossi
5�15 Public Enemy;When a father gives to his son, both laugh when his son gives to his father, both cry.;William Shakespeare;Rossi
5�16 Mosley Lane;Hope is the worst of evils, for it prolongs the torments of man.;Friedrich Nietzsche;JJ
5�16 Mosley Lane;Hope is the thing with feathers, that perches in the soul, and sings the tune without the words, and never stops at all.;Emily Dickinson;JJ
5�17 Solitary Man;We're all sentenced to solitary confinement inside our own skins, for life. ;Tennessee Williams;Prentiss
5�17 Solitary Man;The family is a haven in a heartless world.;Christopher Lasch;Morgan
5�18 The Fight;I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.;Mother Teresa;Hotch
5�19 Rite of Passage;A lions work hours are only when he's hungry once he's satisfied, the predator and prey live peacefully together.;Chuck Jones;Prentiss
5�19 Rite of Passage;Many persons have the wrong idea of what constitutes true happiness�is not attained through self-gratification, but through fidelity to a worthy purpose.;Helen Keller;Hotch
5�20 �A Thousand Words;A sincere artist tries to create something which is, in itself, a living thing.;Painter William Dobell;Rossi
5�20 �A Thousand Words;I have seen children successfully surmount the effects of an evil inheritance. That is due to purity being an inherent attribute of the soul.;Mohandas Gandhi;Hotch
5�21 Exit Wounds;Nature, in her most dazzling aspects or stupendous parts, is but the background and theater of the tragedy of man.;John Morley;Garcia
5�21 Exit Wounds;Nothing is so strong as gentleness and nothing is so gentle as real strength.;Ralph W. Sockman;Garcia
5�22 The Internet Is Forever;The single biggest problem with communication is the illusion that it has taken place.;George Bernard Shaw;Hotch
5�22 The Internet Is Forever;The Internet is the first thing that humanity has built that humanity doesn't understand, the largest experiment in anarchy that we have ever had.;Eric Schmidt;Rossi
5�23 Our Darkest Hour;And out of darkness came the hands that reach thro' nature, moulding men.;Alfred Lord Tennyson;Morgan
6�01 The Longest Night;A family is a place where minds come in contact with one another. If these minds love one another, the home will be as beautiful as a flower garden. But if these minds get out of harmony with one other it is like a storm that plays havoc with the garden.;The Buddha;JJ
6�02 JJ;A tragedy need not have blood and death it's enough that it all be filled with that majestic sadness that is the pleasure of tragedy.;Jean Racine ;JJ
6�02 JJ;I'm thankful for my years spent with this family for everything we shared, every chance we had to grow. I'll take the best of them and lead by their example where ever I go. A friend told me to be honest with you, so here it goes. This isn't what I want, but I'll take the high road. Maybe it's because I look at everything as a lesson, or I don't want to walk around angry. Or maybe it's because I finally understand. There are things we don't want to happen, but have to accept things we don't want to know, but have to learn, and people we can't live without, but have to let go. ; A. J Cook; jj
6�03 Remembrance of Things Past;Remembrance of things past is not necessarily the remembrance of things as they were.;Marcel Proust;Rossi
